iter	Logloss
1963	0.1022009292
1964	0.1021773208
1965	0.1021723249
1966	0.1021577858
1967	0.1021380368
1968	0.1021336191
1969	0.1020833775
1970	0.1020578288
1971	0.1020212402
1972	0.1019891013
1973	0.1019797384
1974	0.1019529968
1975	0.1019258029
1976	0.1019039403
1977	0.1018846175
1978	0.1018716327
1979	0.1018325757
1980	0.101782733
1981	0.1017453588
1982	0.1017280001
1983	0.101705704
1984	0.1016920896
1985	0.1016733236
1986	0.1016624212
1987	0.1016269258
1988	0.1016099
1989	0.1015875635
1990	0.1015740844
1991	0.1015579906
1992	0.1015251565
1993	0.1014965326
1994	0.101484481
1995	0.1014585391
1996	0.1014299669
1997	0.1014091068
1998	0.1013795695
1999	0.101343707
2000	0.1013278177
2001	0.1013172518
2002	0.1012926371
2003	0.1012507071
2004	0.1012483866
2005	0.1012065247
2006	0.1011746362
2007	0.1011367306
2008	0.1011256973
2009	0.101080511
2010	0.1010654493
2011	0.1010595941
2012	0.1010565427
2013	0.1010351712
2014	0.1010115323
2015	0.1009672921
2016	0.1009209027
2017	0.1008958062
2018	0.1008212405
2019	0.100787795
2020	0.1007634191
2021	0.1007129965
2022	0.1006844259
2023	0.1006524069
2024	0.1006484878
2025	0.1006131095
2026	0.1005836058
2027	0.1005689151
2028	0.1005422688
2029	0.1005022483
2030	0.1004857974
2031	0.1004718557
2032	0.1004406116
2033	0.1004324743
2034	0.1003771761
2035	0.1003305438
2036	0.1002850031
2037	0.1002668921
2038	0.1002476085
2039	0.1002359687
2040	0.1001739417
2041	0.1001605887
2042	0.1001516216
2043	0.1001166824
2044	0.1000841873
2045	0.1000595333
2046	0.1000383198
2047	0.1000127819
2048	0.09998973357
2049	0.09997945074
2050	0.09993561511
2051	0.09992895148
2052	0.09989111217
2053	0.09984669775
2054	0.09981434636
2055	0.09979400714
2056	0.0997748014
2057	0.09975392345
2058	0.09973516052
2059	0.09970122848
2060	0.0996648715
2061	0.09963906992
2062	0.09960274684
2063	0.09958601653
2064	0.09955856744
2065	0.09952918982
2066	0.09951062728
2067	0.09948736132
2068	0.09945861554
2069	0.09942606995
2070	0.09939124302
2071	0.09937555604
2072	0.09937168492
2073	0.099342385
2074	0.09933205845
2075	0.09932775321
2076	0.09929048066
2077	0.09927480046
2078	0.09925544721
2079	0.09924069598
2080	0.09922863547
2081	0.09920934523
2082	0.09918156029
2083	0.09916790713
2084	0.09911422641
2085	0.0990934837
2086	0.09905681847
2087	0.09902276419
2088	0.09900393509
2089	0.09899113655
2090	0.09897676424
2091	0.09894288117
2092	0.09891443095
2093	0.09891300803
2094	0.09889081437
2095	0.09883912371
2096	0.09881940508
2097	0.09881595681
2098	0.09876862237
2099	0.09873805085
2100	0.09871401599
2101	0.09868743144
2102	0.0986356614
2103	0.09863412939
2104	0.09861809554
2105	0.0985905811
2106	0.09858852523
2107	0.09855709571
2108	0.09853678109
2109	0.0985081425
2110	0.09847321424
2111	0.09846678247
2112	0.09845319414
2113	0.0984271669
2114	0.09840673449
2115	0.09839415134
2116	0.09837291648
2117	0.09834588357
